sponsor_name,city_id
RWTH Aachen University,1
Charité-Universitätsmedizin Berlin,2
Ruhr University Bochum,3
University of Bonn,4
Dresden University of Technology,5
University Duisburg-Essen,6
Heinrich Heine University Düsseldorf,7
University Erlangen-Nuremberg,8
Goethe University,9
University of Freiburg,10
University of Giessen,11
University of Göttingen,12
Medical University Greifswald,13
Martin Luther University Halle-Wittenberg,14
University of Hamburg,15
Hannover Medical School,16
Heidelberg University Hospital,17
Saarland University,18
Friedrich Schiller University Jena,19
University of Cologne,20
Leipzig University,21
University of Munich (Ludwig-Maximilians),22
Otto von Guericke University Magdeburg,23
Johannes Gutenberg University of Mainz,24
Philipps-University Marburg,26
University of Münster,27
University of Regensburg,28
Universität Rostock,29
Schleswig-Holstein University Hospital,30
Technical University of Munich,31
University Hospital Tübingen,32
University of Ulm,33
University of Witten/Herdecke,34
Julius Maximilian University of Würzburg,35
