lead_cities,city
Aachen,Aachen
Berlin,Berlin
Bochum,Bochum
Bonn,Bonn
Dresden,Dresden
Duisburg,Duisburg-Essen
Düsseldorf,Düsseldorf
Erlangen,Erlangen
Frankfurt,Frankfurt
Freiburg,Freiburg
Giessen,Giessen
Göttingen,Göttingen
Greifswald,Greifswald
Halle,Halle-Wittenberg
Hamburg,Hamburg
Hannover,Hannover
Heidelberg,Heidelberg
Homburg,Homburg
Jena,Jena
Köln,Köln
Leipzig,Leipzig
LMU_München,LMU-München
Magdeburg,Magdeburg
Mainz,Mainz
Mannheim,Mannheim
Marburg,Marburg
Münster,Münster
Regensburg,Regensburg
Rostock,Rostock
Schleswig-Holstein,Schleswig-Holstein
TU_München,TU-München
Tübingen,Tübingen
Ulm,Ulm
Witten-Herdecke,Witten/Herdecke
Würzburg,Würzburg
